dataset,label,p,r,f,speed
sec_filings,,0.7270029674,0.7704402516,0.7480916031,5703.6990430737
,MISC,0.4,0.2857142857,0.3333333333,
,ORG,0.3636363636,0.4285714286,0.393442623,
,LOC,0.5833333333,0.5384615385,0.56,
,PER,0.8608695652,0.9166666667,0.8878923767,
toxic-spans,,0.6152597403,0.6402027027,0.6274834437,5600.0955991039
,insult,0.6306913997,0.7940552017,0.7030075188,
,profane/obscene,0.2173913043,0.0925925926,0.1298701299,
,other toxicity,0.0,0.0,0.0,
,identity based attack,0.0,0.0,0.0,
,threat,0.0,0.0,0.0,
en-wikineural,,0.8658470439,0.8479107649,0.8567850434,4414.7404731398
,LOC,0.8751431844,0.9160671463,0.8951376684,
,PER,0.918678526,0.8942486085,0.9062989658,
,MISC,0.7976878613,0.7863247863,0.7919655667,
,ORG,0.8314680711,0.7603853101,0.7943396226,
wnut17,,0.4632478632,0.2511584801,0.3257211538,3089.6278241933
,location,0.3908045977,0.4533333333,0.4197530864,
,group,0.2205882353,0.0909090909,0.1287553648,
,person,0.7124463519,0.3869463869,0.501510574,
,creative-work,0.3333333333,0.0633802817,0.1065088757,
,corporation,0.1754385965,0.1515151515,0.162601626,
,product,0.1153846154,0.0236220472,0.0392156863,
anem,,0.6290613718,0.5549363057,0.589678511,3483.0147888323
,Pathological_formation,0.5714285714,0.5066666667,0.5371024735,
,Multi-tissue_structure,0.4979591837,0.4939271255,0.4959349593,
,Tissue,0.4358974359,0.2833333333,0.3434343434,
,Cell,0.7301038062,0.6940789474,0.7116357504,
,Organism_substance,0.8037383178,0.7049180328,0.7510917031,
,Organ,0.8372093023,0.6666666667,0.7422680412,
,Anatomical_system,0.3548387097,0.7857142857,0.4888888889,
,Organism_subdivision,0.3650793651,0.4107142857,0.3865546218,
,Immaterial_anatomical_entity,0.75,0.2,0.3157894737,
,Cellular_component,0.5,0.3068181818,0.3802816901,
,Developing_anatomical_structure,1.0,0.4347826087,0.6060606061,
nl-wikineural,,0.8439825507,0.8364699898,0.8402094776,4354.5046382873
,LOC,0.9063324538,0.8922077922,0.8992146597,
,MISC,0.8107869142,0.7725358045,0.7911993097,
,PER,0.876663709,0.9039341263,0.8900900901,
,ORG,0.7911464245,0.7902494331,0.7906976744,
es-wikineural,,0.822616408,0.8339421186,0.828240547,3591.995523709
,LOC,0.867494824,0.7730627306,0.8175609756,
,ORG,0.7910936477,0.8628571429,0.8254185173,
,MISC,0.6696696697,0.6558823529,0.6627043091,
,PER,0.8938618926,0.9510204082,0.921555702,
