dataset,label,p,r,f,speed
sec_filings,,0.9183673469,0.7075471698,0.7992895204,18184.3367023401
,LOC,0.8461538462,0.2820512821,0.4230769231,
,PER,1.0,0.9074074074,0.9514563107,
,MISC,1.0,0.2857142857,0.4444444444,
,ORG,0.4705882353,0.2857142857,0.3555555556,
toxic-spans,,0.6435100548,0.5945945946,0.6180860404,17154.456729257
,insult,0.6458715596,0.7473460722,0.6929133858,
,profane/obscene,0.0,0.0,0.0,
,other toxicity,0.0,0.0,0.0,
,identity based attack,0.0,0.0,0.0,
,threat,0.0,0.0,0.0,
en-wikineural,,0.8275862069,0.7861189802,0.8063198039,15369.4227060464
,LOC,0.8680263947,0.8675059952,0.8677661169,
,ORG,0.7926235212,0.6857314871,0.7353131052,
,PER,0.8391167192,0.8225108225,0.8307307933,
,MISC,0.775147929,0.7464387464,0.7605224964,
wnut17,,0.4422110553,0.0815569972,0.13771518,16400.4193928133
,location,0.2769230769,0.12,0.1674418605,
,group,0.0,0.0,0.0,
,person,0.5882352941,0.1631701632,0.2554744526,
,creative-work,0.0,0.0,0.0,
,product,0.0,0.0,0.0,
,corporation,0.0,0.0,0.0,
anem,,0.6979865772,0.4140127389,0.5197401299,10512.8947560722
,Pathological_formation,0.5662650602,0.3133333333,0.4034334764,
,Cell,0.8198198198,0.5986842105,0.6920152091,
,Multi-tissue_structure,0.5070422535,0.2914979757,0.3701799486,
,Tissue,0.5757575758,0.3166666667,0.4086021505,
,Organ,0.86,0.5308641975,0.6564885496,
,Anatomical_system,0.0,0.0,0.0,
,Organism_subdivision,0.6086956522,0.25,0.3544303797,
,Immaterial_anatomical_entity,0.0,0.0,0.0,
,Cellular_component,0.5,0.2727272727,0.3529411765,
,Organism_substance,0.8351648352,0.6229508197,0.7136150235,
,Developing_anatomical_structure,0.0,0.0,0.0,
nl-wikineural,,0.8112716763,0.7138860631,0.759469697,16275.9970886224
,PER,0.794091316,0.8115279048,0.8027149321,
,LOC,0.8161244696,0.7493506494,0.7813134733,
,ORG,0.7764227642,0.6496598639,0.7074074074,
,MISC,0.8574610245,0.648694187,0.7386091127,
es-wikineural,,0.8092598631,0.6973869064,0.7491699366,15715.4854102833
,ORG,0.795638126,0.7035714286,0.746777862,
,LOC,0.8646441074,0.6835793358,0.7635239567,
,MISC,0.6132075472,0.3823529412,0.4710144928,
,PER,0.8236842105,0.8517006803,0.837458194,
